Entertainer,Profession     ,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death,Total nominations,Total awards won,Award Won from Breakthrough,Oscar Won,Grammy Won,Emmy Won,Other Awards 
Adele,Singer,F,1988,2008,19,2009,2016,,26,55,Grammy,1,15,0,16
Angelina Jolie,Actor,F,1975,1999,"Girl, Interrupted",1999,2016,,97,78,Oscar,1,0,0,57
Aretha Franklin,Singer,F,1942,1967,I Never Loved a Man (The Way I Love You),1968,2014,,32,35,No Award,0,20,0,9
Bette Davis,Actor,F,1908,1934,Of Human Bondage,1935,1989,1989,23,34,No Award,2,0,1,31
Betty White,Actor,F,1922,1952,Life with Elilzabeth,1976,2016,,39,40,Emmy,0,2,5,32
Bing Crosby,Singer,M,1903,1931,Several Songs,1962,1974,1977,9,18,Grammy,1,1,0,16
Bob Hope,Actor,M,1903,1938,The Big Broadcast of 1938,1940,1972,2003,10,39,No Award,0,0,1,38
Carol Burnett,Actor,F,1933,1959,The Garry Moore Show,1962,2016,,45,54,Emmy,0,1,6,42
Carole Lombard,Actor,F,1908,1934,Twentieth Century,,1942,1942,1,1,No Award,0,0,0,1
Carrie Fisher,Actor,F,1956,1977,Star Wars,,2016,2016,19,8,Other,0,1,0,6
Cary Grant,Actor,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970,1966,1986,21,13,No Award,0,0,0,12
Charlie Chaplin,Actor,M,1889,1915,The Tramp,1929,1967,1977,9,26,No Award,1,0,0,23
Clara Bow,Actor,F,1905,1926,Mantrap,,1933,1965,1,1,No Award,0,0,0,1
Clark Gable,Actor,M,1901,1934,It Happened One Night,1934,1960,1960,6,4,Oscar,1,0,0,3
David Letterman,Actor,M,1947,1982,Late Night with David Letterman,1981,2015,,59,39,Emmy,0,0,7,13
Debbie Reynolds,Actor,F,1932,1952,Singin' in the Rain,,2006,2016,32,25,Other,0,0,0,20
Denzel Washington,Actor,M,1954,1989,Glory,1989,2016,,189,106,Oscar,2,0,0,84
Dick Van Dyke,Actor,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,2015,,20,21,Emmy,0,1,5,15
Donald Sutherland,Actor,M,1935,1967,The Dirty Dozen,1995,2016,,31,23,No Award,0,0,1,21
Dustin Hoffman,Actor,M,1937,1967,The Graduate,1980,2016,,52,65,Other,2,0,2,59
Ed Sullivan,Actor,M,1901,1948,Toast of the Town,1956,1973,1974,0,3,Other,0,0,0,3
Eddie Murphy,Actor,M,1961,1980,Saturday Night Live,2001,2016,,89,56,Emmy,0,1,1,41
Elton John,Singer,M,1947,1972,Honky Chateau,1987,2016,,61,43,No Award,2,6,0,19
Elvis Presley,Singer,M,1935,1956,Heartbreak Hotel,1959,1977,1977,14,18,No Award,0,5,0,7
Frank Sinatra,Singer,M,1915,1940,I'll Never Smile Again,1946,1980,1998,30,46,No Award,1,12,0,21
Gene Hackman,Actor,M,1930,1967,Bonnie and Clyde,1971,2004,,37,35,Other,2,0,0,31
George Michael,Singer,M,1963,1984,Wake Me Up Before You Go-Go,1988,2004,2016,14,11,No Award,0,2,0,4
Gregory Peck,Actor,M,1916,1944,The Keys of the Kingdom,1962,1991,2003,23,35,No Award,1,0,0,35
Greta Garbo,Actor,F,1905,1930,Anna Christie,1954,1941,1990,5,12,Other,0,0,0,11
Humphrey Bogart,Actor,M,1899,1936,The Petrified Forest,1951,1956,1957,6,13,No Award,1,0,0,5
James Dean,Actor,M,1931,1953,East of Eden,1955,1955,1955,4,7,Other,0,0,0,7
Jay Leno,Actor,M,1950,1992,The Tonight Show,1995,2014,,26,7,Emmy,0,0,2,4
Jennifer Aniston,Actor,F,1969,1994,Friends,2002,2016,,81,59,Emmy,0,0,1,42
Jerry Seinfeld,Actor,M,1954,1988,Seinfeld,1992,2016,,42,25,Emmy,0,0,1,19
Jimmy Page,Singer,M,1944,1969,Led Zeppelin 2,1999,2016,,4,3,No Award,0,2,0,1
Jimmy Stewart,Actor,M,1908,1938,You Can't Take it With You,1941,1980,1997,21,32,No Award,1,0,0,30
Joan Crawford,Actor,F,1904,1928,Our Dancing Daughters,1946,1970,1977,9,12,No Award,1,0,0,11
John Lennon,Singer,M,1940,1963,I Want to Hold Your Hand,1965,1980,1980,14,41,Other,1,8,0,13
John Wayne,Actor,M,1907,1939,Stagecoach,1970,1976,1979,17,28,No Award,1,0,0,26
Johnny Carson,Actor,M,1925,1962,The Tonight Show Starring Johnny Carson,1976,1992,2005,13,16,Emmy,0,0,5,11
Johnny Depp,Actor,M,1963,1987,21 Jump Street,,2016,,136,99,No Award,0,0,0,73
Justin Timberlake,Singer,M,1981,2000,No Strings Attached,2004,2016,,85,115,No Award,0,10,4,41
Katherine Hepburn,Actor,F,1907,1933,Morning Glory,1933,1994,2003,35,30,Oscar,4,0,1,23
Keifer Sutherland,Actor,M,1966,2001,24,2006,2016,,54,28,Emmy,0,0,1,20
Kirk Douglas,Actor,M,1916,1949,Champion,1996,2004,,24,35,No Award,0,0,0,34
Lady Gaga,Singer,F,1986,2008,The Fame,2010,2016,,139,141,Other,1,12,0,55
Leonard Bernstein,Singer,M,1918,1957,West Side Story,1962,1989,1990,30,54,No Award,0,17,7,31
Leonardo DiCaprio,Actor,M,1974,1997,Titanic,2016,2016,,222,138,Other,1,0,0,100
Louis Armstrong,Singer,M,1901,1964,"Hello, Dolly!",1993,1970,1971,2,2,Grammy,0,2,0,0
Madonna,Singer,F,1958,1984,Like A Virgin,1992,2015,,80,83,No Award,0,6,0,43
Mariah Carey,Singer,F,1969,1990,Mariah Carey,1991,2014,,80,132,Other,0,6,0,69
Marlon Brando,Actor,M,1924,1951,Streetcar Named Desire,1953,2001,2004,35,35,Other,2,0,1,31
Mary Tyler Moore,Actor,F,1936,1961,The Dick Van Dyke Show,1964,2013,,30,30,Emmy,0,0,7,23
Meryl Streep,Actor,F,1949,1978,The Deer Hunter,1980,2016,,326,226,Other,3,0,3,171
Mick Jagger,Singer,M,1943,1965,(I Can't Get No) Satisfaction,1987,2016,,6,11,No Award,0,0,0,10
Morgan Freeman,Actor,M,1937,1989,Driving Miss Daisy and Glory,2005,2016,,79,69,Other,1,0,0,64
Oprah Winfrey,Actor,F,1954,1985,The Color Purple,1987,2016,,85,60,No Award,0,0,18,35
Paul McCartney,Singer,M,1942,1963,I Want to Hold Your Hand,1965,2016,,49,69,Other,1,14,0,16
Paul Newman,Actor,M,1925,1958,Cat on a Hot Tin Roof,1986,2005,2008,68,40,No Award,1,0,1,36
Peter O'Toole,Actor,M,1932,1962,Lawrence of Arabia,2002,2013,2013,47,29,Other,0,0,1,27
Prince,Singer,M,1958,1979,Prince,1984,2016,2016,44,46,Other,1,7,0,18
Robert Redford,Actor,M,1936,1969,Butch Cassidy and the Sundance Kid,1980,2016,,54,44,Other,1,0,0,42
Sidney Poitier,Actor,M,1927,1955,Blackboard Jungle,1964,2008,,39,30,No Award,1,1,0,26
Sly Stone,Singer,M,1943,1968,Everyday People,2017,1971,,0,1,No Award,0,1,0,0
Stevie Wonder,Singer,M,1950,1963,Fingertips,1973,2005,,34,66,No Award,1,24,0,12
Tom Hanks,Actor,M,1956,1984,Splash,1993,2016,,185,106,No Award,2,0,7,82
Tony Bennett,Singer,M,1926,1951,Because of You,1963,2016,,24,32,No Award,0,20,2,2
Wayne Newton,Actor,M,1942,1972,"Daddy, Don't You Walk So Fast",,2016,,3,1,No Award,0,0,0,1
Will Smith,Actor,M,1968,1990,The Fresh Prince of Bel-Air,1988,2016,,156,115,No Award,0,4,0,66
Willie Nelson,Singer,M,1933,1975,Red Headed Stranger,1976,2016,,43,72,No Award,0,15,0,9
